agent,bytes,clientip,extension,geo.coordinates,geo.dest,geo.src,geo.srcdest,hour_of_day,ip,machine.os,machine.ram,memory,message,phpmemory,referer,request,response,url,utc_time
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,251,160.189.170.26,,"{
  ""lat"": 44.98730556,
  ""lon"": -99.9535
}",CN,VN,VN:CN,16,160.189.170.26,win 8,"18,253,611,008",,"160.189.170.26 - - [2018-08-04T16:15:39.567Z] ""GET /security-analytics HTTP/1.1"" 200 251 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://www.elastic-elastic-elastic.com/success/oleg-atkov,/security-analytics,200,https://www.elastic.co/solutions/security-analytics,"August 4th 2018, 16:15:39.567"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"6,727",167.228.227.54,,"{
  ""lat"": 35.36671583,
  ""lon"": -104.1880314
}",TW,CN,CN:TW,16,167.228.227.54,win 7,"3,221,225,472",,"167.228.227.54 - - [2018-08-04T16:15:27.893Z] ""GET /elasticsearch HTTP/1.1"" 200 6727 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://twitter.com/success/william-pailes,/elasticsearch,200,https://www.elastic.co/downloads/elasticsearch,"August 4th 2018, 16:15:27.893"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),0,166.168.152.39,,"{
  ""lat"": 33.17794778,
  ""lon"": -96.5905275
}",SO,GH,GH:SO,16,166.168.152.39,osx,"3,221,225,472",,"166.168.152.39 - - [2018-08-04T16:11:47.086Z] ""GET /beats HTTP/1.1"" 503 0 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://nytimes.com/success/philip-k-chapman,/beats,503,https://www.elastic.co/downloads/beats,"August 4th 2018, 16:11:47.086"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"1,727",174.98.40.39,deb,"{
  ""lat"": 34.93891389,
  ""lon"": -110.1395656
}",IN,EC,EC:IN,16,174.98.40.39,win 7,"13,958,643,712",,"174.98.40.39 - - [2018-08-04T16:09:05.596Z] ""GET /beats/metricbeat/metricbeat-6.3.2-amd64.deb HTTP/1.1"" 200 1727 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://twitter.com/success/georgi-ivanov,/beats/metricbeat/metricbeat-6.3.2-amd64.deb,200,https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-amd64.deb,"August 4th 2018, 16:09:05.596"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"3,063",65.240.119.220,,"{
  ""lat"": 18.49486111,
  ""lon"": -67.12944444
}",LR,US,US:LR,16,65.240.119.220,win 7,"20,401,094,656",,"65.240.119.220 - - [2018-08-04T16:05:33.150Z] ""GET /elasticsearch HTTP/1.1"" 200 3063 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://twitter.com/error/stephen-oswald,/elasticsearch,200,https://www.elastic.co/downloads/elasticsearch,"August 4th 2018, 16:05:33.150"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"3,795",131.73.207.137,,"{
  ""lat"": 38.92409111,
  ""lon"": -117.9590072
}",TW,CN,CN:TW,16,131.73.207.137,win 8,"21,474,836,480",,"131.73.207.137 - - [2018-08-04T16:04:13.858Z] ""GET /beats/filebeat HTTP/1.1"" 200 3795 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://twitter.com/success/daniel-bursch,/beats/filebeat,200,https://www.elastic.co/downloads/beats/filebeat,"August 4th 2018, 16:04:13.858"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"5,591",115.221.110.43,,"{
  ""lat"": 20.26525583,
  ""lon"": -155.8599875
}",ID,CN,CN:ID,15,115.221.110.43,ios,"16,106,127,360",,"115.221.110.43 - - [2018-08-04T15:53:51.639Z] ""GET /beats/filebeat HTTP/1.1"" 200 5591 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://facebook.com/success/thomas-akers,/beats/filebeat,200,https://www.elastic.co/downloads/beats/filebeat,"August 4th 2018, 15:53:51.639"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","11,514",235.17.226.19,gz,"{
  ""lat"": 14.21577583,
  ""lon"": -169.4239058
}",IN,SD,SD:IN,15,235.17.226.19,ios,"4,294,967,296",,"235.17.226.19 - - [2018-08-04T15:47:05.071Z] ""GET /elasticsearch/elasticsearch-6.3.2.tar.gz HTTP/1.1"" 200 11514 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://twitter.com/success/donald-williams,/elasticsearch/elasticsearch-6.3.2.tar.gz,200,https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.tar.gz,"August 4th 2018, 15:47:05.071"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","3,729",221.159.96.142,gz,"{
  ""lat"": 40.47798556,
  ""lon"": -88.91595278
}",ID,UG,UG:ID,15,221.159.96.142,ios,"3,221,225,472",,"221.159.96.142 - - [2018-08-04T15:45:14.336Z] ""GET /kibana/kibana-6.3.2-linux-x86_64.tar.gz HTTP/1.1"" 200 3729 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://twitter.com/success/steven-maclean,/kibana/kibana-6.3.2-linux-x86_64.tar.gz,200,https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-linux-x86_64.tar.gz,"August 4th 2018, 15:45:14.336"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"8,705",161.161.176.37,,"{
  ""lat"": 60.53337639,
  ""lon"": -165.1139636
}",PK,VN,VN:PK,15,161.161.176.37,win xp,"32,212,254,720","348,200","161.161.176.37 - - [2018-08-04T15:40:49.432Z] ""GET /people/type:astronauts/name:michael-foale/profile HTTP/1.1"" 200 8705 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""","348,200",http://facebook.com/error/john-casper,/people/type:astronauts/name:michael-foale/profile,200,https://elastic-elastic-elastic.org/people/type:astronauts/name:michael-foale/profile,"August 4th 2018, 15:40:49.432"
